Alignment,Outlier_Seq_No,Z_score,PT_ID
3J1FW,5,28737.XP_006903207.1,5.603332953910872
3J1FX,42,9707.XP_004409779.1,4.528911484711405
3J1FY,47,9767.XP_007165281.1,7.9685333144114345
3J1FZ,81,9361.ENSDNOP00000026545,6.337000005562526
3J1G0,26,9940.ENSOARP00000010770,8.002685892038839
3J1G2,9,27679.XP_010329477.1,5.709962659701851
3J1G3,77,9478.XP_008056843.1,8.99247583455843
3J1G4,55,42254.XP_004609813.1,4.532766998623115
3J1G5,10,13616.ENSMODP00000008461,8.151821850303879
3J1G6,2,9694.XP_007079796.1,4.997812319350981
3J1G7,22,246437.XP_006158043.1,6.908198054740542
3J1G8,2,225400.XP_006778253.1,5.282152062438711
3J1G9,55,59538.XP_005970492.1,6.449255747445225
3J1GA,61,51337.XP_004665384.1,8.302648419694588
3J1GB,243,59538.XP_005955893.1,19.475992320754013
3J1GC,34,10029.XP_007614443.1,8.322735184356176
3J1GE,61,9612.ENSCAFP00000014926,6.145989209422413
3J1GG,15,9258.ENSOANP00000021295,5.043514190335423
3J1GH,19,10029.XP_007618990.1,4.576976214553024
3J1GI,36,225400.XP_006777390.1,5.642907771942167
3J1GJ,67,28737.XP_006886431.1,6.608341765050858
3J1GK,34,9940.ENSOARP00000019763,6.017997368369159
3J1GM,62,9612.ENSCAFP00000016747,7.005421942967578
3J1GN,67,9597.XP_008968510.1,4.318558997491051
3J1GQ,10,10181.XP_004872383.1,7.449333351239397
3J1GR,34,9986.ENSOCUP00000002386,7.191628503113867
3J1GT,12,42254.XP_004618343.1,7.43352721661869
3J1GU,42,9685.ENSFCAP00000009329,6.985005117818948
3J1GV,11,9371.XP_004712802.1,5.66019430595777
3J1GW,53,9541.XP_005588673.1,7.497401636325256
3J1GY,2,34839.XP_005396941.1,7.661343710977497
3J1GZ,36,9940.ENSOARP00000004304,8.037423125789994
3J1H0,59,29073.XP_008686258.1,5.1109648380586545
3J1H2,1,34839.XP_005407141.1,5.6127297362707935
3J1H3,53,51337.XP_004663407.1,7.606540481549427
3J1H4,20,9478.XP_008051363.1,6.533956300821261
3J1H6,62,1026970.XP_008844554.1,6.750778596405927
3J1H7,41,109478.XP_005879553.1,4.317853878789384
3J1H8,35,246437.XP_006159537.1,7.957021203468688
3J1H9,31,9986.ENSOCUP00000006719,4.053378040862911
3J1HA,1,79684.XP_005357880.1,7.567668197983887
3J1HB,60,30611.ENSOGAP00000005238,6.558160776499942
3J1HC,54,109478.XP_005871387.1,5.603788395762892
3J1HD,28,246437.XP_006152796.1,6.180815758633277
3J1HE,28,185453.XP_006876571.1,4.489702940261822
3J1HF,27,9402.XP_006922998.1,4.7559579951670266
3J1HG,20,9541.XP_005596054.1,6.249055471324948
3J1HH,50,89462.XP_006056479.1,6.5244519613633045
3J1HI,12,10036.XP_005070493.1,7.48508535236843
3J1HJ,53,34839.XP_005410391.1,4.8370259903026085
3J1HK,31,9818.XP_007934801.1,6.913508362961037
3J1HM,41,109478.XP_005867279.1,5.831452794121589
3J1HN,13,30611.ENSOGAP00000022024,7.550484840854051
3J1HP,8,13616.ENSMODP00000011608,8.227650354096495
3J1HQ,21,9478.XP_008050519.1,8.753221924007361
3J1HR,12,10181.XP_004863521.1,4.493438823704964
3J1HS,24,885580.XP_010614022.1,5.300269841502973
3J1HT,26,9986.ENSOCUP00000000803,8.127357146079202
3J1HU,51,79684.XP_005343407.1,4.775432003509909
3J1HV,22,10042.XP_006990373.1,5.121654751267017
3J1HW,132,9707.XP_004408452.1,4.9004508431327
3J1HX,128,9778.XP_004384123.1,4.165962401761888
3J1HZ,53,72004.XP_005902483.1,5.217608875873127
3J1I0,28,9785.ENSLAFP00000028219,7.578366925294225
3J1I1,26,246437.XP_006171508.1,8.178267804950428
3J1I2,66,51337.XP_004664447.1,9.029951971388185
3J1I3,29,10036.XP_005139294.1,7.9710089838926885
3J1I4,5,29073.XP_008708541.1,7.628770748011818
3J1I5,7,10160.XP_004628718.1,4.724727626871479
3J1I7,43,9668.ENSMPUP00000001643,7.906486989771509
3J1I8,32,10036.XP_005068814.1,7.56112818158835
3J1I9,67,9541.XP_005542403.1,8.0315960903511
3J1IA,26,9541.XP_005589888.1,6.074542914818879
3J1IB,29,10029.XP_007633117.1,3.8368829957633537
3J1IC,33,885580.XP_010615465.1,8.048533765605171
3J1ID,14,9258.ENSOANP00000023114,4.739362058741698
3J1IE,41,109478.XP_005873060.1,4.883744617158503
3J1IF,23,10036.XP_005077814.1,5.685469243029205
3J1IH,2,246437.XP_006152229.1,7.145706783393966
3J1II,91,9555.ENSPANP00000000357,8.719360963161469
3J1IJ,23,9978.XP_004583595.1,5.500890952836944
3J1IK,6,28737.XP_006890945.1,7.332078924588053
3J1IM,10,10181.XP_004843883.1,4.451627299139445
3J1IN,31,9818.XP_007941596.1,7.146529404989217
3J1IP,23,10042.XP_006972967.1,3.101708594623624
3J1IQ,50,9733.XP_004266228.1,5.983020565251827
3J1IR,39,28737.XP_006889102.1,6.756282793882024
3J1IU,51,79684.XP_005360076.1,6.071387333280102
3J1IV,16,9402.XP_006912413.1,4.691715109422917
3J1IW,30,225400.XP_006765170.1,6.21850359269581
3J1IX,46,9778.XP_004382399.1,7.757716062283341
3J1IY,26,885580.XP_010604197.1,5.589309373572398
3J1IZ,24,9361.ENSDNOP00000019193,9.462815240035516
3J1J0,63,51337.XP_004663132.1,6.578487863832705
3J1J1,150,9361.ENSDNOP00000030640,14.754385836270545
3J1J2,39,118797.XP_007449234.1,5.313274284187002
3J1J3,21,1026970.XP_008830651.1,5.123377246868741
3J1J4,53,109478.XP_005860088.1,7.85921696357089
3J1J5,6,10181.XP_004845383.1,7.121794848658604
3J1J6,41,9707.XP_004416109.1,3.366577608192281
